encoding_dim, hidden_dim, lr_roc, lr_gmean, rf_roc, rf_gmean, ab_roc, ab_gmean
50,50,0.8133,0.5273,0.8347,0.6145,0.8293,0.6022
50,100,0.8281,0.6209,0.8381,0.6304,0.8334,0.6320
50,150,0.8444,0.6194,0.8516,0.6502,0.8475,0.6380
50,200,0.8295,0.6263,0.8370,0.6361,0.8357,0.6305
50,250,0.8529,0.6498,0.8558,0.6540,0.8532,0.6509
50,300,0.8148,0.5546,0.8322,0.4195,0.8243,0.5912
50,350,0.8235,0.5589,0.8366,0.5415,0.8314,0.5999
100,100,0.8389,0.6164,0.8428,0.6114,0.8382,0.6242
100,150,0.8486,0.6382,0.8467,0.6305,0.8460,0.6306
100,200,0.8465,0.6103,0.8433,0.5585,0.8455,0.6126
100,250,0.8540,0.6485,0.8553,0.6454,0.8564,0.6673
100,300,0.8448,0.6366,0.8496,0.6143,0.8463,0.6519
100,350,0.8471,0.6411,0.8508,0.6548,0.8491,0.6542
150,150,0.8323,0.6020,0.8249,0.4713
150,200,0.8589,0.6484,0.8481,0.6000
