Layers, maps, kernel size, dense layer size, AUC, Sensitivity, Specificity, G-mean
1,2,10,25,0.8726,0.9388,0.4857,0.6753
1,2,10,50,0.8676,0.9462,0.4332,0.6403
1,2,10,100,0.8699,0.9249,0.5187,0.6926
1,2,10,200,0.8675,0.9433,0.4212,0.6304
1,2,10,300,0.8683,0.9278,0.5112,0.6887
1,2,20,25,0.8728,0.9537,0.4107,0.6259
1,2,20,50,0.8677,0.9268,0.5052,0.6843
1,2,20,100,0.8683,0.9368,0.4617,0.6577
1,2,20,200,0.8686,0.9430,0.4482,0.6501
1,2,20,300,0.8644,0.9475,0.3973,0.6135
1,2,50,25,0.8725,0.9368,0.4887,0.6766
1,2,50,50,0.8695,0.9220,0.5367,0.7034
1,2,50,100,0.8692,0.9352,0.4872,0.6750
1,2,50,200,0.8679,0.9216,0.5367,0.7033
1,2,50,300,0.8664,0.9352,0.4677,0.6614
1,2,100,25,0.8731,0.9495,0.4452,0.6502
1,2,100,50,0.8687,0.9245,0.5382,0.7054
1,2,100,100,0.8670,0.9579,0.3853,0.6075
1,2,100,200,0.8684,0.9491,0.4257,0.6357
1,2,100,300,0.8644,0.8718,0.6521,0.7540
1,2,150,25,0.8681,0.9423,0.4482,0.6499
1,2,150,50,0.8703,0.9459,0.4482,0.6511
1,2,150,100,0.8673,0.9077,0.5682,0.7181
1,2,150,200,0.8689,0.9440,0.4272,0.6351
1,2,150,300,0.8678,0.9385,0.4587,0.6561
1,4,10,25,0.8705,0.9288,0.4992,0.6809
1,4,10,50,0.8676,0.9126,0.5457,0.7057
1,4,10,100,0.8645,0.9398,0.4332,0.6381
1,4,10,200,0.8652,0.9446,0.4167,0.6274
1,4,10,300,0.8695,0.9375,0.4692,0.6632
1,4,20,25,0.8703,0.9394,0.4602,0.6575
1,4,20,50,0.8675,0.9472,0.4377,0.6439
1,4,20,100,0.8679,0.9401,0.4377,0.6415
1,4,20,200,0.8659,0.9411,0.4377,0.6418
1,4,20,300,0.8646,0.9262,0.4872,0.6717
1,4,50,25,0.8710,0.9181,0.5622,0.7184
1,4,50,50,0.8671,0.9427,0.4437,0.6468
1,4,50,100,0.8639,0.9343,0.4467,0.6460
1,4,50,200,0.8687,0.9200,0.5427,0.7066
1,4,50,300,0.8666,0.9288,0.4932,0.6768
1,4,100,25,0.8703,0.9336,0.4887,0.6755
1,4,100,50,0.8710,0.9365,0.4707,0.6640
1,4,100,100,0.8673,0.9313,0.4947,0.6788
